Code,Tube Number,Culture,Name,Ploidity,CaCo3,Filter,Rinse,Comment on filtration,Ca (ug/L),Mg (ug/L),Sr (ug/L),Na (ug/L),Ca sw corr,Ca sw + V corr,PIC mmol/m3,PIC ug/l,PIC blank mean mmol/m3,PIC blank mean ug/l,PIC blank stdev mmol/m3,PIC blank stdev ug/l,PIC blank %
NBX3,70.0,RCC1129,Calcidiscus leptoporus,n,No,0.4,NH4OH,,225.34,684.66,3.875,5447.7,17.15408032650035,5.718026775500116,0.004317866308011231,0.05181439569613411,0.13863280307949166,1.6635936369539006,0.03613091787183492,0.4335710144620185,3210.6784506569084
UBX1,80.0,RCC1472,Umbilicosphaera foliosa,2n,Yes,0.4,NH4OH,,645.82,58433.17,4.259,5224.28,446.17216028197765,148.72405342732588,3.5794685326036553,42.95362239124386,0.13863280307949166,1.6635936369539006,0.03613091787183492,0.4335710144620185,3.87299963155849
UBX2,81.0,RCC1472,Umbilicosphaera foliosa,2n,Yes,0.4,NH4OH,,196.16,974.64,1.508,1395.41,142.83387811891288,47.61129270630429,1.0516495145781155,12.619794174937386,0.13863280307949166,1.6635936369539006,0.03613091787183492,0.4335710144620185,13.18241497359567
UBX3,82.0,RCC1472,Umbilicosphaera foliosa,2n,Yes,0.4,NH4OH,,376.99,1110.35,2.789,2324.95,288.1411548093869,96.04705160312896,2.2625434869987324,27.150521843984777,0.13863280307949166,1.6635936369539006,0.03613091787183492,0.4335710144620185,6.127298939274237
SBX1,31.0,MIR 02,Syracosphaera pulchra,n,Yes,0.4,NH4OH,,263.74,4199.22,2.234,1579.75,203.41985702270816,67.80661900756938,1.5565326721097428,18.67839206531691,0.13863280307949166,1.6635936369539006,0.03613091787183492,0.4335710144620185,8.906514174969878
SBX2,32.0,MIR 02,Syracosphaera pulchra,n,Yes,0.4,NH4OH,Leaked few drops?,221.52,307.11,1.605,1466.79,165.5130479394449,55.17101597981497,1.2406425964158823,14.887711156990589,0.13863280307949166,1.6635936369539006,0.03613091787183492,0.4335710144620185,11.174273999618487
SBX3,33.0,MIR 02,Syracosphaera pulchra,n,Yes,0.4,NH4OH,,191.58,124.77,1.264,619.24,167.93534398654333,55.97844799551444,1.2608283968083693,15.12994076170043,0.13863280307949166,1.6635936369539006,0.03613091787183492,0.4335710144620185,10.995374424499275
LBY1,50.0,RCC1151,Calcidiscus leptoporus,n,Yes,0.4,K2B4O7,,135.63,112.13,0.868,636.96,111.28833225118262,37.0961107503942,0.8088842150284965,9.706610580341955,0.11851855373135867,1.422222644776304,0.017094428143302098,0.20513313771962527,14.652103666923866
LBY2,51.0,RCC1151,Calcidiscus leptoporus,n,Yes,0.4,K2B4O7,,213.41,260.35,1.895,1926.01,139.80679807067992,46.60226602355997,1.0465380968576405,12.558457162291685,0.11851855373135867,1.422222644776304,0.017094428143302098,0.20513313771962527,11.324819811837258
LBY3,52.0,RCC1151,Calcidiscus leptoporus,n,Yes,0.4,K2B4O7,,114.76,90.55,0.824,552.91,93.63033484834432,31.210111616114773,0.6617342366715107,7.940810840058128,0.11851855373135867,1.422222644776304,0.017094428143302098,0.20513313771962527,17.910294973931066
